FilePath,FileName,NumberLine,Header,End,Status
AA038,\\192.168.2.101\d3\22年02月08日_d3,T-MTF_2022.02.08_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月09日_d3,T-MTF_2022.02.09_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月10日_d3,T-MTF_2022.02.10_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月11日_d3,T-MTF_2022.02.11_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月12日_d3,T-MTF_2022.02.12_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月14日_d3,T-MTF_2022.02.14_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月15日_d3,T-MTF_2022.02.15_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月16日_d3,T-MTF_2022.02.16_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月17日_d3,T-MTF_2022.02.17_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月18日_d3,T-MTF_2022.02.18_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月19日_d3,T-MTF_2022.02.19_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月21日_d3,T-MTF_2022.02.21_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月22日_d3,T-MTF_2022.02.22_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月23日_d3,T-MTF_2022.02.23_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月24日_d3,T-MTF_2022.02.24_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月25日_d3,T-MTF_2022.02.25_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月26日_d3,T-MTF_2022.02.26_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年02月28日_d3,T-MTF_2022.02.28_d3.csv,,,,OK
